store_name,city,region,total_revenue
RetailPulse Koramangala,Bengaluru,South,171573.03
RetailPulse Salt Lake,Kolkata,East,166960.61
RetailPulse Bandra Hub,Mumbai,West,152205.74
RetailPulse T. Nagar,Chennai,South,150091.83
RetailPulse Anna Nagar,Chennai,South,145759.99
RetailPulse MG Road,Bengaluru,South,144523.11
RetailPulse Connaught,New Delhi,North,142914.16
RetailPulse Park Street,Kolkata,East,137636.37
RetailPulse Lajpat Nagar,New Delhi,North,133249.58
RetailPulse Downtown,Mumbai,West,114872.06
